,Oraculo,Verbo,Sustantivo,Adjetivo
0,Si,vigilar,Abadesa,AFECTUOSO
1,No,aportar,Abeja,AHORRADOR
2,"Si, pero...",afectar,Accidente,ALEGRE
3,"No, pero...",detectar,Álamo,ALTIVO
4,Si y ademas...,negociar,Almena,AMABLE
5,No y ademas...,pelear,Alumno,AMBICIOSO
6,,proponer,Andamio,ANTIPÁTICO
7,,disparar,Animal,APASIONADO
8,,querer,Árbol,APOCADO
9,,solucionar,Bacteria,ASTUTO
10,,conceder,Bestia,ATOLONDRADO
11,,reunir,Caballo,ATREVIDO
12,,afrontar,Cafeto,AVARO
13,,respirar,Canción,BELIGERANTE
14,,aclarar,Carga,BOBO
15,,intercambiar,Casa,BRUSCO
16,,estimular,Constelación,BRUTO
17,,exigir,Chiquillo,BURLÓN
18,,amar,Ciudadano,CÁLIDO
19,,arreglar,Clérigo,CAMPECHANO
20,,intensificar,Collar,CARGANTE
21,,movilizar,Cuaderno,CARIÑOSO
22,,difundir,Delegado,CAUTO
23,,admitir,Diente,CELOSO
24,,describir,Espectador,CHIFLADO
25,,actualizar,Estrella,COBARDE
26,,impulsar,Estudiante,CONDESCENDIENTE
27,,coger,Flor,CONSERVADOR
28,,experimentar,Fusil,CRUEL
29,,contener,Gallina,DERROCHADOR
30,,corregir,Gato,DICHARACHERO
31,,brindar,Habitante,DILIGENTE
32,,acabar,Hincha,DINÁMICO
33,,agregar,Hoja,DISCRETO
34,,subir,Hormiga,ENCANTADOR
35,,quedar,Instrumento,ENGREÍDO
36,,hallar,Letra,ESPARTANO
37,,disminuir,Libro,ESTÚPIDO
38,,subrayar,Lobo,EXIGENTE
39,,practicar,Maíz,EXTROVERTIDO
40,,importar,Montaña,FANÁTICO
41,,restablecer,Muchacho,FANFARRÓN
42,,debatir,Mueble,FASCINANTE
43,,contratar,Músico,FIEL
44,,colocar,Navío,FILÁNTROPO
45,,ocurrir,Novillo,FRANCO
46,,reflejar,Pájaro,FRÍO
47,,erradicar,Palabra,GROSERO
48,,sufrir,Pariente,GRUÑÓN
49,,proseguir,Pelo,HOLGAZÁN
50,,recurrir,Perla,HONESTO
51,,adaptar,Perro,HONRADO
52,,atacar,Persona,HOSCO
53,,aliviar,Pez,HUMILDE
54,,casarse,Piedra,HURAÑO
55,,liberar,Pino,IDIOTA
56,,fijar,Planta,ILUSO
57,,lanzar,Plátano,IMBÉCIL
58,,entregar,Plato,INQUIETO
59,,justificar,Pluma,INSISTENTE
60,,finalizar,Pollo,INSOLENTE
61,,huir,Potro,INTELIGENTE
62,,colaborar,Problema,INTROVERTIDO
63,,sustituir,Profesor,INTUITIVO
64,,enseñar,Rama,IRÓNICO
65,,disponer,Rancho,JOVIAL
66,,suceder,Regla,LEAL
67,,escoger,Rosa,LEGAL
68,,alimentar,Siembra,LISTO
69,,armonizar,Soldado,LLANO
70,,bajar,Súbdito,LOCO
71,,representar,Tablón,LOCUAZ
72,,calcular,Tecla,MALEDUCADO
73,,retirar,Término,MENTIROSO
74,,juzgar,Vaca,MIEDOSO
75,,ocultar,Vecino,MISÁNTROPO
76,,ajustar,Vela,MODERNO
77,,renunciar,Vid,MODESTO
78,,saltar,Yegua,MORDAZ
79,,prohibir,Abecedario,ORGULLOSO
80,,diseñar,Agrupación,PARCO
81,,llenar,Alameda,PARLANCHÍN
82,,conectar,Almenaje,PEREZOSO
83,,descansar,Alumnado,PERTINAZ
84,,cometer,Andamiaje,PESADO
85,,provocar,Arboleda,PROGRESISTA
86,,convencer,Arenal,PRUDENTE
87,,emprender,Armamento,PUNTUAL
88,,comunicar,Audiencia,REBELDE
89,,comparar,Banco,REMOLÓN
90,,registrar,Banda,RETRÓGRADO
91,,recomendar,Bandada,SEVERO
92,,competir,Bestiaje,SIMPÁTICO
93,,favorecer,Bibliografía,SIMPLE
94,,intervenir,Cafetal,SINCERO
95,,rechazar,Cancionero,TONTO
96,,invitar,Cardumen,TRAMPOSO
97,,mitigar,Cargamento,TRAVIESO
98,,respaldar,Caserío,VAGO
99,,sostener,Chiquillería,VALIENTE
100,,cruzar,Ciudadanía,AFEMINADO
101,,tirar,Clan,ÁGIL
102,,aparecer,Clero,ALBINO
103,,repetir,Clientela,ALTO
104,,declarar,Colección,AMANERADO
105,,asignar,Colectividad,ANCIANO
106,,reformar,Comitiva,ANTIGUO
107,,transferir,Contingente,ASQUEROSO
108,,golpear,Coral,ATRACTIVO
109,,cargar,Cuadrilla,BAJO
110,,constituir,Delegación,BARBILAMPIÑO
111,,quitar,Dentadura,BARRIGUDO/BARRIGÓN
112,,reemplazar,Documentación,BIZCO
113,,combinar,Enjambre,CALVO
114,,afirmar,Escuadrón,CAÑIJO
115,,restaurar,Estudiantado,CASTAÑO
116,,autorizar,Familia,CEJIJUNTO
117,,planificar,Flota,CHAPARRO
118,,explotar,Follaje,CHEPADO
119,,contactar,Fusilería,CIEGO
120,,nadar,Gaterío,CLÁSICO
121,,anunciar,Gente,COJO
122,,levantar,Harén,CORPULENTO
123,,suprimir,Hinchada,CULÓN
124,,montar,Hormiguero,DELGADO
125,,reparar,Humanidad,DESCUIDADO
126,,elevar,Jauría,DESGARBADO
127,,ahorrar,Léxico,ELEGANTE
128,,influir,Lista,ENCLENQUE
129,,agradecer,Manada,ENANO
130,,efectuar,Mobiliario,ENCORVADO
131,,gritar,Montón,ENFERMIZO
132,,felicitar,Muchachada,ESBELTO
133,,intentar,Muestrario,ESMIRRIADO
134,,operar,Mujerío,ESPIGADO
135,,ordenar,Novillada,ESQUELÉTICO
136,,negar,Orquesta,FEO
137,,vencer,Pedregal,FLACO
138,,moverse,Pelamen,GANGOSO
139,,emplear,Peonaje,GARBOSO
140,,alquilar,Perlería,GIGANTE
141,,despertar,Piara,GORDO
142,,desaparecer,Pinar,GORDINFLÓN
143,,sentarse,Plantación,GRANDE
144,,revelar,Platanal,GUAPO
145,,complementar,Plumaje,HIRSUTO
146,,apreciar,Pollada,INFANTIL
147,,reiterar,Potrada,JOROBADO
148,,interpretar,Pradería,JOVEN
149,,proceder,Problemática,JUVENIL
150,,extender,Profesorado,LENTO
151,,salvaguardar,Público,LIGERO
152,,reservar,Racimo,LIMPIO
153,,reconstruir,Ramaje,MACIZO
154,,regular,Ranchería,MADURO
155,,extraer,Rebaño,MANCO
156,,proveer,Reglamento,MORENO
157,,simplificar,Reparto,MUDO
158,,imprimir,Reunión,MUSCULOSO
159,,configurar,Rosal,NARIZOTAS
160,,implementar,Rosaleda,OBESO
161,,existir,Sembradío,OJEROSO
162,,reflexionar,Séquito,ORDENADO
163,,atrapar,Tablonaje,OREJÓN/OREJUDO
164,,minimizar,Teclado,ORONDO
165,,especificar,Tribu,PÁLIDO
166,,variar,Trío,PATIZAMBO
167,,distribuir,Tropa,PELEÓN
168,,nombrar,Utilería,PELIRROJO
169,,distinguir,Vacaje,PELUDO
170,,cocinar,Vajilla,PEQUEÑO
171,,compensar,Vajillo,RÁPIDO
172,,procesar,Vecindario,RECHONCHO
173,,acoger,Velamen,ROLLIZO
174,,curar,Viña,RUBIO
175,,suspender,Viñedo,SANO
176,,localizar,Vocabulario,SOFISTICADO
177,,resistir,Yeguada,SUCIO
178,,devolver,Yegüero,TARTAMUDO
179,,grabar,Agujero,TORPE
180,,preocuparse,Almohada,TUERTO
181,,manifestar,Año,VARONIL
182,,contestar,Barco,VELOZ
183,,cancelar,Batalla,VIEJO
184,,abarcar,Caja,AGRADABLE
185,,optimizar,Cinta,PATICORTO
186,,notar,Coche,PATILARGO
187,,navegar,Contratiempo,
188,,otorgar,Cuento,
189,,renovar,Dedo,
190,,ratificar,Detalle,
191,,excluir,Empresa,
192,,prever,Encomienda,
193,,echar,Excursión,
194,,borrar,Fantasma,
195,,pintar,Fotografía,
196,,poseer,Garza,
197,,marcar,Habitación,
198,,reír,Herida,
199,,girar,Hora,
200,,potenciar,Imagen,
201,,unir,Incidente,
202,,rezar,Lado,
203,,plantear,Lago,
204,,educar,Máquina,
205,,suponer,Meme,
206,,meter,Mesa,
207,,almacenar,Minuto,
208,,orar,Niña,
209,,engañar,Nido,
210,,vestir,Queque,
211,,ignorar,País,
212,,orientar,Paquete,
213,,gastar,Planeta,
214,,quemar,Poema,
215,,casar,Ratón,
216,,reaccionar,Regalo,
217,,redactar,Río,
218,,emitir,Susto,
219,,fabricar,Unicornio,
220,,centrar,Uña,
221,,denunciar,Viaje,
222,,capturar,Aceite,
223,,sugerir,Ácido,
224,,sonar,Agua,
225,,castigar,Aire,
226,,lavar,Alegría,
227,,obligar,Amor,
228,,separar,Antipatía,
229,,perseguir,Arena,
230,,activar,Barro,
231,,nacer,Belleza,
232,,convocar,Calor,
233,,dedicar,Cólera,
234,,fingir,Cooperación,
235,,ocupar,Desagrado,
236,,editar,Embriaguez,
237,,bloquear,Entusiasmo,
238,,insistir,Esfuerzo,
239,,esconder,Éter,
240,,cultivar,Fastidio,
241,,reclamar,Fuego,
242,,dividir,Gas,
243,,restringir,Hambre,
244,,designar,Harina,
245,,guiar,Inquina,
246,,arruinar,Ira,
247,,mentir,Lava,
248,,significar,Leche,
249,,reafirmar,Lluvia,
250,,ser,Lujuria,
251,,ver,Luz,
252,,decir,Maldad,
253,,estar,Miedo,
254,,tener,Modestia,
255,,ir,Monóxido,
256,,hacer,Necedad,
257,,mejorar,Nostalgia,
258,,hablar,Odio,
259,,garantizar,Oxígeno,
260,,encontrar,Paciencia,
261,,ayudar,Pereza,
262,,tomar,Rabia,
263,,haber,Saliva,
264,,saber,Sangre,
265,,trabajar,Savia,
266,,crear,Sed,
267,,seguir,Simpatía,
268,,promover,Testarudez,
269,,mantener,Tiempo,
270,,dejar,Tinta,
271,,evitar,Tristeza,
272,,dar,Ápice,
273,,reducir,Batiburrillo,
274,,establecer,Brizna,
275,,utilizar,Centenar,
276,,vivir,Copa,
277,,aumentar,Cuartel,
278,,llegar,Fajo,
279,,usar,Gajo,
280,,conseguir,Gota,
281,,obtener,Grado,
282,,proteger,Gramo,
283,,lograr,Grano,
284,,asegurar,Hatajo,
285,,cambiar,Haz,
286,,pensar,Kilo,
287,,llevar,Lámina,
288,,aplicar,Lasca,
289,,desarrollar,Litro,
290,,facilitar,Loncha,
291,,apoyar,Lonja,
292,,determinar,Mendrugo,
293,,adoptar,Metro,
294,,pasar,Milímetro,
295,,proporcionar,Millar,
296,,volver,Minutos,
297,,cumplir,Mitad,
298,,alcanzar,Par,
299,,venir,Pareja,
300,,examinar,Pedazo,
301,,participar,Pellizco,
302,,creer,Pizca,
303,,recibir,Porción,
304,,comer,Puñado,
305,,comprar,Ramo,
306,,fortalecer,Rebanada,
307,,esperar,Ristra,
308,,salir,Rodaja,
309,,matar,Serie,
310,,realizar,Sucesión,
311,,poner,Tajada,
312,,jugar,Taza,
313,,ofrecer,Terrón,
314,,pagar,Tramo,
315,,resolver,Trozo,
316,,morir,Yunta,
317,,leer,,
318,,tratar,,
319,,permitir,,
320,,conocer,,
321,,contribuir,,
322,,llamar,,
323,,incluir,,
324,,empezar,,
325,,perder,,
326,,entender,,
327,,ganar,,
328,,fomentar,,
329,,evaluar,,
330,,aprender,,
331,,responder,,
332,,compartir,,
333,,reforzar,,
334,,continuar,,
335,,eliminar,,
336,,abordar,,
337,,construir,,
338,,prevenir,,
339,,escuchar,,
340,,recordar,,
341,,dormir,,
342,,aceptar,,
343,,combatir,,
344,,presentar,,
345,,reconocer,,
346,,considerar,,
347,,entrar,,
348,,disfrutar,,
349,,poder,,
350,,controlar,,
351,,sentir,,
352,,elaborar,,
353,,elegir,,
354,,descargar,,
355,,enviar,,
356,,actuar,,
357,,salvar,,
358,,prestar,,
359,,abrir,,
360,,terminar,,
361,,escribir,,
362,,buscar,,
363,,ampliar,,
364,,comenzar,,
365,,preparar,,
366,,organizar,,
367,,pedir,,
368,,visitar,,
369,,estudiar,,
370,,identificar,,
371,,informar,,
372,,luchar,,
373,,expresar,,
374,,comprender,,
375,,probar,,
376,,mostrar,,
377,,contar,,
378,,demostrar,,
379,,impedir,,
380,,decidir,,
381,,superar,,
382,,celebrar,,
383,,vender,,
384,,oír,,
385,,explicar,,
386,,desempeñar,,
387,,añadir,,
388,,descubrir,,
389,,producir,,
390,,satisfacer,,
391,,regresar,,
392,,acceder,,
393,,iniciar,,
394,,mirar,,
395,,beber,,
396,,servir,,
397,,modificar,,
398,,traer,,
399,,observar,,
400,,conducir,,
401,,definir,,
402,,detener,,
403,,revisar,,
404,,solicitar,,
405,,confiar,,
406,,analizar,,
407,,caminar,,
408,,respetar,,
409,,permanecer,,
410,,financiar,,
411,,formular,,
412,,tocar,,
413,,cubrir,,
414,,preguntar,,
415,,sacar,,
416,,indicar,,
417,,investigar,,
418,,funcionar,,
419,,destruir,,
420,,introducir,,
421,,alentar,,
422,,incrementar,,
423,,comprobar,,
424,,generar,,
425,,cerrar,,
426,,señalar,,
427,,necesitar,,
428,,atender,,
429,,ejecutar,,
430,,supervisar,,
431,,aprovechar,,
432,,asumir,,
433,,convertir,,
434,,defender,,
435,,manejar,,
436,,escapar,,
437,,viajar,,
438,,recuperar,,
439,,coordinar,,
440,,ejercer,,
441,,aprobar,,
442,,mencionar,,
443,,parecer,,
444,,parar,,
445,,causar,,
446,,olvidar,,
447,,correr,,
448,,completar,,
449,,bailar,,
450,,discutir,,
451,,limitar,,
452,,averiguar,,
453,,adquirir,,
454,,concluir,,
455,,acelerar,,
456,,abandonar,,
457,,asistir,,
458,,destacar,,
459,,invertir,,
460,,recoger,,
461,,romper,,
462,,caer,,
463,,cooperar,,
464,,formar,,
465,,cantar,,
466,,votar,,
467,,incorporar,,
468,,seleccionar,,
469,,instalar,,
470,,sobrevivir,,
471,,integrar,,
472,,avanzar,,
473,,medir,,
474,,crecer,,
475,,quedarse,,
476,,firmar,,
477,,robar,,
478,,imponer,,
479,,cuidar,,
480,,consolidar,,
481,,imaginar,,
482,,consultar,,
483,,limpiar,,
484,,conservar,,
485,,llorar,,
486,,verificar,,
487,,gestionar,,
488,,mover,,
489,,partir,,
490,,enfrentar,,
491,,confirmar,,
492,,preservar,,
493,,explorar,,
494,,guardar,,
495,,volar,,
496,,dirigir,,
497,,soportar,,
498,,atraer,,
499,,cortar,,